#freq power std
1.500000000000000000e+02 4.530138660402548443e-05 1.634389044326539922e-06
1.510000000000000000e+02 4.611206183420069136e-05 1.688337196061075981e-06
1.520000000000000000e+02 4.482187181037666735e-05 1.610534362952391144e-06
1.530000000000000000e+02 4.565552256272669465e-05 1.505360824892985754e-06
1.540000000000000000e+02 4.631103787184780624e-05 1.497655380014059266e-06
1.550000000000000000e+02 4.435750190135499924e-05 1.571525345015596675e-06
1.560000000000000000e+02 4.518710245682382019e-05 1.598724662040409542e-06
1.570000000000000000e+02 4.336877215481530238e-05 1.537246101805917037e-06
1.580000000000000000e+02 4.384024821326507331e-05 1.530511226929780508e-06
1.590000000000000000e+02 4.429264094635260136e-05 1.508697058453640537e-06
1.600000000000000000e+02 4.496737060528312071e-05 1.565124712695885339e-06
1.610000000000000000e+02 4.546623077318847657e-05 1.468323762447437528e-06
1.620000000000000000e+02 4.390549068062829779e-05 1.531680899486304425e-06
1.630000000000000000e+02 4.584297615634451710e-05 1.520462506060915892e-06
1.640000000000000000e+02 4.523335408666986175e-05 1.587253253195319203e-06
1.650000000000000000e+02 4.599446353921803033e-05 1.522179623095926585e-06
1.660000000000000000e+02 4.493597868920863673e-05 1.410701630484447878e-06
1.670000000000000000e+02 4.461142342628297884e-05 1.480810224224755430e-06
1.680000000000000000e+02 4.644187348965342224e-05 1.457567903971655169e-06
1.690000000000000000e+02 4.333911053217532429e-05 1.420762560847419982e-06
1.700000000000000000e+02 4.462344684613964212e-05 1.479817902111719343e-06
1.710000000000000000e+02 4.617879952172557624e-05 1.496704689408174130e-06
1.720000000000000000e+02 4.477204013019510365e-05 1.458191048423848510e-06
1.730000000000000000e+02 4.598338041245272190e-05 1.525524168243326357e-06
1.740000000000000000e+02 4.413438653614949785e-05 1.478515460461555323e-06
1.750000000000000000e+02 4.443839022917272998e-05 1.714427437845718935e-06
1.760000000000000000e+02 4.463086514204480027e-05 1.479886088806719839e-06
1.770000000000000000e+02 4.405624201440162178e-05 1.478214889497583152e-06
1.780000000000000000e+02 4.576167934054446869e-05 1.524464304367155830e-06
1.790000000000000000e+02 4.510583261664524929e-05 1.413743001807603073e-06
1.800000000000000000e+02 4.585609016204073902e-05 1.625511103730224436e-06
1.810000000000000000e+02 4.348156493551550182e-05 1.541014751302320864e-06
1.820000000000000000e+02 4.491748497385859520e-05 1.417470804550524145e-06
1.830000000000000000e+02 4.358933639696146019e-05 1.439841527613798972e-06
1.840000000000000000e+02 4.567994706114063866e-05 1.544938198248301876e-06
1.850000000000000000e+02 4.466241505818789278e-05 1.432778296812643101e-06
1.860000000000000000e+02 4.651673854656219732e-05 1.548543665549599209e-06
1.870000000000000000e+02 4.571432941753843666e-05 1.522619375717563664e-06
1.880000000000000000e+02 4.559017990019798515e-05 1.502956734221263446e-06
1.890000000000000000e+02 4.568091432985346424e-05 1.501953717684678869e-06
1.900000000000000000e+02 4.404858864522362492e-05 1.529603788905170233e-06
1.910000000000000000e+02 4.392215776103858466e-05 1.583316393934297257e-06
1.920000000000000000e+02 4.484570669877841679e-05 1.587376816560399970e-06
1.930000000000000000e+02 4.444621315939998311e-05 1.496061730898210089e-06
1.940000000000000000e+02 4.573129322978492878e-05 1.481689947147073290e-06
1.950000000000000000e+02 4.443441710549574027e-05 1.567625337390550310e-06
1.960000000000000000e+02 4.542195221737019110e-05 1.571717985552528741e-06
1.970000000000000000e+02 4.559103541276471187e-05 1.514525462303068494e-06
1.980000000000000000e+02 4.502605414296813644e-05 1.534713551181733063e-06
1.990000000000000000e+02 4.393529103503585227e-05 1.426300674710921016e-06
2.000000000000000000e+02 4.479342023704277183e-05 1.666764469169875676e-06
